bioguide_id,first_name,last_name,last_name_upper,full_name,state,party,type,term_start,term_end,state_rank
C001068,Steve,Cohen,COHEN,Steve Cohen,TN,Democrat,rep,2021-01-03,2023-01-03,
C001068,Steve,Cohen,COHEN,Steve Cohen,TN,Democrat,rep,2023-01-03,2025-01-03,
C001068,Steve,Cohen,COHEN,Steve Cohen,TN,Democrat,rep,2025-01-03,2027-01-03,
C001053,Tom,Cole,COLE,Tom Cole,OK,Republican,rep,2013-01-03,2015-01-03,
C001053,Tom,Cole,COLE,Tom Cole,OK,Republican,rep,2015-01-06,2017-01-03,
C001053,Tom,Cole,COLE,Tom Cole,OK,Republican,rep,2017-01-03,2019-01-03,
C001053,Tom,Cole,COLE,Tom Cole,OK,Republican,rep,2019-01-03,2021-01-03,
C001053,Tom,Cole,COLE,Tom Cole,OK,Republican,rep,2021-01-03,2023-01-03,
C001053,Tom,Cole,COLE,Tom Cole,OK,Republican,rep,2023-01-03,2025-01-03,
C001053,Tom,Cole,COLE,Tom Cole,OK,Republican,rep,2025-01-03,2027-01-03,
C001078,Gerald,Connolly,CONNOLLY,Gerald E. Connolly,VA,Democrat,rep,2013-01-03,2015-01-03,
C001078,Gerald,Connolly,CONNOLLY,Gerald E. Connolly,VA,Democrat,rep,2015-01-06,2017-01-03,
C001078,Gerald,Connolly,CONNOLLY,Gerald E. Connolly,VA,Democrat,rep,2017-01-03,2019-01-03,
C001078,Gerald,Connolly,CONNOLLY,Gerald E. Connolly,VA,Democrat,rep,2019-01-03,2021-01-03,
C001078,Gerald,Connolly,CONNOLLY,Gerald E. Connolly,VA,Democrat,rep,2021-01-03,2023-01-03,
C001078,Gerald,Connolly,CONNOLLY,Gerald E. Connolly,VA,Democrat,rep,2023-01-03,2025-01-03,
C001078,Gerald,Connolly,CONNOLLY,Gerald E. Connolly,VA,Democrat,rep,2025-01-03,2027-01-03,
C001059,Jim,Costa,COSTA,Jim Costa,CA,Democrat,rep,2013-01-03,2015-01-03,
C001059,Jim,Costa,COSTA,Jim Costa,CA,Democrat,rep,2015-01-06,2017-01-03,
